Sample_ID,Method_R1,Coef_np_R1,Coef_OLS_R1,Standard_Error_R1,Data_Points_Used_R1,Diff_R1,Data_Points_R1,smaller_than_R1,Method_R2,Coef_np_R2,Coef_OLS_R2,Standard_Error_R2,Data_Points_Used_R2,Diff_R2,smaller_than_R2,larger_than_R2
61-1,2,7.500640737696708,7.500640737696708,0.5840464264608026,12,0,12.0,0.0,2,7.508820859840055,7.508820859840055,0.5847644168076949,12,0,0.0,0.0
61-2,2,0.3453592305323695,0.3453592305323695,0.013887280433123279,12,0,12.0,0.0,2,0.34477255251962824,0.34477255251962824,0.014550696030458346,12,0,0.0,0.0
61-3,2,11.771061773435841,11.771061773435841,1.1425623289093343,9,0,9.0,0.0,2,11.91887453394585,11.91887453394585,1.1263259795490048,7,0,0.0,0.0
61-4,2,8.824555883864617,8.824555883864619,0.30628273233769093,5,0,5.0,0.0,2,8.4215094257314,8.421509425731399,0.38325630552360573,8,0,0.0,0.0
61-5,2,7.6155701876475765,7.615570187647577,0.48534944753536474,18,0,18.0,0.0,2,7.553430241759192,7.553430241759191,0.47807306748535694,18,0,0.0,0.0
61-6,2,7.338113059956647,7.338113059956646,0.5775974351588266,8,0,13.0,0.0,2,7.234593179692961,7.23459317969296,0.6681349897580383,7,0,0.0,0.0
61-7,2,0.40110357805884295,0.40110357805884295,0.03785659874239663,7,0,7.0,0.0,2,0.4091392777444617,0.4091392777444617,0.0355865530988604,10,0,0.0,0.0
61-8,2,2.1817469128133173,2.181746912813317,0.41739284337906607,6,0,10.0,0.0,2,2.261371511133525,2.261371511133525,0.4727083883154844,7,0,0.0,0.0
61-9,2,10.463316605522255,10.463316605522255,0.7141403543357778,6,0,7.0,0.0,2,9.850838220852223,9.850838220852225,0.5444200385971512,7,0,0.0,0.0
61-10,2,8.824555883864617,8.824555883864619,0.30628273233769093,5,0,5.0,0.0,2,8.837665976510168,8.83766597651017,0.2983096410919139,5,0,0.0,0.0
61-11,2,8.435442184652647,8.435442184652647,0.3402939276198376,6,0,6.0,0.0,2,8.446945768188424,8.446945768188424,0.33507101002217093,6,0,0.0,0.0
61-12,2,9.000996920309435,9.000996920309435,0.2806122989477789,5,0,5.0,0.0,2,8.993161765703979,8.993161765703977,0.2881174802404092,5,0,0.0,0.0
61-13,2,8.50130794023911,8.50130794023911,0.5877006674623719,3,0,6.0,0.0,2,8.434484548670877,8.434484548670879,0.5692167943888238,3,0,0.0,0.0
61-14,2,3.650986388274682,3.6509863882746822,0.45344068112766395,6,0,6.0,0.0,2,3.6476446111294463,3.6476446111294463,0.45394049178541057,6,0,0.0,0.0
61-15,2,6.396031212295207,6.396031212295207,0.28580712024313837,3,0,4.0,0.0,2,6.333178953223076,6.333178953223076,0.2675405050913655,3,0,0.0,0.0
62-1,2,5.186741687168651,5.186741687168651,0.22668176731570788,3,0,5.0,0.0,2,4.950917355417129,4.950917355417129,0.19205907714942527,3,0,0.0,0.0
62-2,2,7.018342275383671,7.018342275383672,0.24277642677738145,6,0,6.0,0.0,2,6.799838133523854,6.7998381335238545,0.2326566489851053,6,0,0.0,0.0
62-3,2,9.233857778192382,9.233857778192382,0.49314017099972507,3,0,5.0,0.0,2,9.143667745499085,9.143667745499085,0.5221839986407385,3,0,0.0,0.0
62-4,2,8.89023939287504,8.89023939287504,0.2620088495016299,5,0,5.0,0.0,2,8.586218115025893,8.586218115025893,0.26053325001130245,5,0,0.0,0.0
62-5,2,15.854551913321568,15.854551913321568,0.7025835544053304,6,0,7.0,0.0,2,15.543477034322274,15.543477034322272,0.6736579085828773,6,0,0.0,0.0
